FIPS,2018,2014,2017,2015,2021,2019,2023,2020,2016,2022,2013,2012,2010,2024
01017,413,279,154,331,562,527,444,417,302,1365,256,,,
02170,1800,1537,152,576,2930,2083,,2794,52,141,,,,
08001,10783,9306,21810,20940,12997,10738,7255,11687,10392,11009,,,,
05037,139,154,180,384,288,193,292,182,162,330,,,,
05011,87,47,75,57,124,87,157,109,58,165,32,,,
06011,215,208,243,286,287,228,118,274,202,194,,,,
01039,471,27,7,27,657,562,601,1085,33,1422,381,,,
06031,1816,1312,1811,1506,1898,1845,1299,1834,1742,1803,,,,
05125,2911,2304,2958,2365,3708,3638,1887,3436,2267,2453,,,,
06059,32500,31857,35266,34272,39727,33087,21226,33651,35529,27236,,,,
06085,17650,18491,18605,19315,22173,16197,11582,16241,18092,15624,,,,
08055,240,119,197,178,244,198,,207,191,201,,,,
08063,93,,57,,153,95,,133,32,146,,,,
08085,1048,672,1013,1440,1249,1010,700,1108,888,1091,,,,
09005,2722,2132,2572,2388,4007,3028,2524,3756,2550,3351,,,,
12057,34570,25261,39302,29472,38805,34619,22199,34518,40871,32408,25876,,,
01005,14,,8,,90,116,,577,,,,,32,
02070,,2,7,,7,11,,5,8,,,1,,
12015,8828,7581,9671,8476,11386,9089,,10025,10109,8894,,,,
01099,250,97,240,154,258,813,108,252,77,441,104,,,
05137,205,17,161,106,283,229,257,214,137,310,13,,,
08037,1778,1410,1760,3168,1990,1763,1372,2136,1591,1751,,,,
08039,659,601,723,1278,900,701,546,788,663,896,,,,
08117,2119,1900,2273,2237,2853,2109,,2370,2146,1990,1462,,,
05101,94,24,117,99,177,110,,157,80,122,22,,,
08103,138,92,118,121,208,146,,178,109,171,120,94,,
06073,40501,38278,42838,42350,47946,40670,25099,42319,43446,33129,,,,
08111,24,9,23,9,56,26,,37,19,18,14,,,
12013,111,110,193,110,150,139,,169,208,148,,,,
01105,52,7,18,46,8,15,,52,29,,45,,,
12009,18175,15676,19226,17303,21942,17885,,18956,21016,19251,,,,
05049,250,264,205,311,376,272,,301,271,212,213,,,
05095,83,80,71,,61,68,,69,82,52,99,,,
06075,6446,6126,6400,5994,8746,6193,4789,5690,6244,6557,,,,
12011,44476,42614,54606,45549,51954,42496,34543,39920,116630,45259,43333,,,3814
08005,13714,13310,14766,14327,16013,15311,9228,12692,14650,12532,25021,,,
08045,1431,1046,1312,1197,1663,1371,,1536,1300,1146,,,,
06095,6654,5841,7188,6952,8063,6967,379,6904,7280,6081,,,,
12069,11450,9265,13650,9976,13600,11462,7619,11422,13529,12251,,,,
05023,701,467,562,472,946,735,653,823,551,862,,,,
05027,315,9,306,218,239,300,307,288,249,373,16,,,
05123,269,194,199,129,274,267,264,234,203,326,,,,
09015,1073,1355,1624,1318,1756,1494,1112,1697,1252,1515,,,,
12077,57,67,88,68,93,61,93,74,108,85,,,,
05031,2034,1703,2186,1798,2751,2113,1502,2770,1779,1889,,,,
05067,189,123,181,195,330,259,266,259,,308,60,33,,
01109,338,259,272,154,346,1026,,235,280,457,80,,,
01113,261,539,286,5,31,310,,2851,82,,,,,
05073,24,40,40,48,95,35,76,49,31,86,,,,
08099,160,147,164,180,179,201,119,171,185,97,,,,
12001,5465,5537,5825,5622,6339,5270,,5402,5809,5675,5249,,,
12075,1048,765,1209,831,1393,1020,,1218,1518,1322,,,,
01091,184,5,113,4,213,610,57,169,21,413,10,,,
08017,19,22,27,29,27,31,,29,27,11,20,,,
06041,3201,3526,3438,3607,4323,3392,2475,3572,2995,681,,,,
05097,111,38,85,8,128,81,163,108,64,194,,,,
06097,6735,6590,6787,6930,9259,6698,4690,7306,7258,6513,1,,,
01059,342,364,235,383,443,319,561,477,406,662,209,,,
12029,348,307,319,318,424,338,,425,356,390,,,,
05127,117,139,106,109,173,128,109,117,,223,110,,,
08035,9994,9248,10383,20091,11880,10107,,11072,9414,10408,,,,
12065,214,147,247,138,272,191,,228,250,194,,,,
06049,164,130,143,117,243,166,149,217,115,172,,,,
01057,16,165,21,234,263,44,182,,181,575,15,,,
01095,,1351,1593,1284,2186,,1678,1809,,,,,,
06007,3750,2859,3509,3233,4092,4878,44,4058,3443,3218,,,,
05147,71,47,61,151,79,57,,60,24,46,,,,
05139,253,126,249,43,517,287,516,293,154,804,,,,
08101,3879,2803,3903,6340,4491,3941,,4259,3492,3849,,,,
01087,2,86,21,26,,,,,17,,63,,,
08095,88,99,96,2,78,79,,98,12,98,,,,
06003,86,51,95,71,114,84,71,106,82,69,,,,
01049,944,651,856,30,761,888,,790,,46,,,,
01011,6,,13,,15,13,,126,,,40,,,
05057,192,138,219,148,284,273,242,181,189,320,,,,
05099,90,240,101,83,126,93,,99,29,39,30,,,
02195,29,21,28,31,36,27,17,34,28,24,17,,,
12073,5174,4147,5942,4498,6368,5211,,5387,6139,5363,,,,
01041,3,101,47,92,8,5,,6,96,4,104,,,
06107,5360,4188,5214,4597,5577,5313,4004,5437,5349,4837,,,,
01061,158,321,320,151,1376,274,736,363,146,676,170,,,
02261,46,,48,,,49,,48,51,,65,,,
08051,495,251,454,240,837,486,,784,372,524,,,,
12083,11723,8769,14506,9484,16705,12517,11740,13837,16690,15094,,,,
