FIPS,Year,TotalSales,AssdTotalValue_mean,AssdTotalValue_median,sales_ratio_mean,sales_ratio_median,sales_ratio_non_nulls_count,freq_valid_sales_ratio
12085,2023,2253,363663.3719485131,223046.0,0.6883685788691994,0.6782495550799545,2253,1.0
12085,2022,2557,303921.6456785295,193842.0,0.7374123757306201,0.7487229862475442,2557,1.0
12085,2021,3491,290862.39444285305,187265.0,0.8425939074289724,0.9054469400745658,3491,1.0
12085,2020,2969,304406.6776692489,196210.0,0.8906402857185125,1.0,2969,1.0
12085,2019,2791,265139.61698316014,179700.0,0.8853299389903082,1.0,2791,1.0
12085,2018,2963,245893.3013837327,157310.0,0.889685573874448,1.0,2963,1.0
12085,2017,2959,263479.79824264953,156336.0,0.8928059289908746,1.0,2959,1.0
12085,2016,3094,216107.20555914674,140010.0,0.9126555215071225,1.0,3094,1.0
12085,2015,3507,200389.42629027658,127439.0,0.9277357500678699,1.0,3507,1.0
12085,2014,3268,188562.94430844553,119537.0,0.9509090734737523,1.0,3268,1.0
12083,2023,11740,144498.5251277683,120569.5,0.7902721979839757,0.830517786092064,11740,1.0
12083,2022,15094,120677.25692328077,87056.0,0.7857033997006116,0.8057464124465612,15094,1.0
12083,2021,16705,106552.96755462437,85400.0,0.9089884397680132,1.0,16705,1.0
12083,2020,13837,89600.49678398497,69885.0,0.9359947728388429,1.0,13837,1.0
12083,2019,12517,92180.53423344252,75561.0,0.9348165659628985,1.0,12517,1.0
12083,2018,11723,97505.12616224516,71855.0,0.9413131610687758,1.0,11694,0.9975262304870767
12083,2017,14506,95254.8081483524,70099.5,0.9375183296318707,1.0,14506,1.0
12083,2016,16690,88259.88220491313,69659.5,0.9220391485191898,0.9863816279637996,16690,1.0
12083,2015,9484,93710.01138760017,69795.5,0.9574731465962454,1.0,9484,1.0
12083,2014,8769,85168.12384536435,68879.0,0.9695086445060817,1.0,8769,1.0
12081,2023,10056,350852.05767700874,259196.0,0.8319423604062869,1.0,10056,1.0
12081,2022,15151,250254.5336941456,176773.0,0.8841838294017458,1.0,15151,1.0
12081,2021,17573,231942.81374836396,165951.0,0.9332901572510285,1.0,17573,1.0
12081,2020,14190,219972.3918957012,166483.5,0.9372002790470323,1.0,14190,1.0
12081,2019,12751,206700.16853580112,151804.0,0.9301713340505778,1.0,12751,1.0
12081,2018,12784,200728.4967146433,141632.5,0.9322532478200712,1.0,12784,1.0
12081,2017,13660,191591.42818448023,127438.5,0.927049464699578,1.0,13660,1.0
12081,2016,14633,169780.72008473997,116142.0,0.9283583177605793,1.0,14633,1.0
12081,2015,11798,164064.99271062893,116994.5,0.9443560223325708,1.0,11798,1.0
12081,2014,11208,143675.02739114917,101385.0,0.9669124476967202,1.0,11208,1.0
12081,2013,11225,140644.27590200445,97118.0,0.9851983553585367,1.0,11225,1.0
12079,2022,217,99822.866359447,78117.0,0.8669764532052322,1.0,217,1.0
12079,2021,235,86771.2,66707.0,0.9172574453158737,1.0,234,0.9957446808510638
12079,2020,175,74663.08,61057.0,0.9229629043006266,1.0,175,1.0
12079,2019,180,69645.50555555556,49817.5,0.9238875678949747,1.0,180,1.0
12079,2018,194,62225.83505154639,47574.5,0.9609633667210167,1.0,194,1.0
12079,2017,222,55579.43693693694,43381.0,0.9548575274929801,1.0,222,1.0
12079,2016,263,66835.79467680608,47507.0,0.9534659091067156,1.0,263,1.0
12079,2015,149,62906.10067114094,43363.0,0.9995845147543077,1.0,137,0.9194630872483222
12079,2014,151,49394.834437086094,42192.0,0.9267223255253627,1.0,151,1.0
12077,2023,93,67135.66666666667,42075.0,0.9346441404204604,1.0,93,1.0
12077,2022,85,75682.25882352941,52365.0,0.9404942254631956,1.0,85,1.0
12077,2021,93,76698.5376344086,52453.0,0.9579838478044082,1.0,93,1.0
12077,2020,74,62269.54054054054,48039.5,0.9677119649300236,1.0,74,1.0
12077,2019,61,64178.13114754098,40027.0,0.9636247388642748,1.0,61,1.0
12077,2018,57,75834.77192982456,57337.0,0.9601583277762861,1.0,57,1.0
12077,2017,88,59424.65909090909,45260.5,0.9555277287709153,1.0,88,1.0
12077,2016,108,56530.583333333336,33722.5,0.9165339826280013,1.0,108,1.0
12077,2015,68,47336.01470588235,34680.5,0.9312211825386701,1.0,68,1.0
12077,2014,67,66342.26865671642,56157.0,0.897653287320275,1.0,67,1.0
12075,2022,1322,99182.75189107413,75258.5,0.8602579882310555,1.0,1322,1.0
12075,2021,1393,84381.9160086145,61297.0,0.8956050317953606,1.0,1393,1.0
12075,2020,1218,71203.63382594417,50567.0,0.9342925527440337,1.0,1218,1.0
12075,2019,1020,67581.13235294117,52242.5,0.9202610442504018,1.0,1020,1.0
12075,2018,1048,66862.33015267176,47078.0,0.932506705123115,1.0,1048,1.0
12075,2017,1209,60616.599669148054,46871.0,0.9341749134281869,1.0,1209,1.0
12075,2016,1518,62089.5,47607.0,0.9837478330644539,1.0,1518,1.0
12075,2015,831,59301.35740072202,45358.0,0.9840269707704968,1.0,831,1.0
12075,2014,765,59638.93202614379,43761.0,0.9892341970952948,1.0,765,1.0
12073,2022,5363,241042.14488159612,138929.0,0.9164979139845844,1.0,5363,1.0
12073,2021,6368,195698.90734924623,130054.5,0.9395305159299612,1.0,6368,1.0
12073,2020,5387,183983.44458882496,132995.0,0.9486863027704562,1.0,5387,1.0
12073,2019,5211,188625.9813855306,125417.0,0.9475334803404816,1.0,5211,1.0
12073,2018,5174,165986.0077309625,117415.0,0.9550650413702535,1.0,5174,1.0
12073,2017,5942,184732.6169639852,110023.0,0.9622875081103214,1.0,5942,1.0
12073,2016,6139,158959.79003094966,104745.0,0.964863387565499,1.0,6139,1.0
12073,2015,4498,150569.9359715429,114364.0,0.9728384683149017,1.0,4498,1.0
12073,2014,4147,164628.00385821075,104628.0,0.9787004709635894,1.0,4147,1.0
12071,2023,24344,250709.49519388762,185103.0,0.7529082369882822,0.7583577912219077,24344,1.0
12071,2022,31963,236360.97106028846,164259.0,0.7569508472159114,0.7816481278716372,31963,1.0
12071,2021,42061,234554.1196119921,171348.0,0.9998523397713343,1.0,42035,0.9993818501699911
12071,2020,33608,194955.69379314448,144600.0,0.9430779493530097,1.0,33608,1.0
12071,2019,30508,186169.87603251607,134854.0,0.9356820538267695,1.0,30508,1.0
12071,2018,30833,175610.8022573217,126775.0,0.930340162350219,1.0,30833,1.0
12071,2017,27678,175622.79590288317,125999.0,0.9236753834033269,1.0,27678,1.0
12071,2016,26987,173719.34364694112,127167.0,0.9998380997805156,1.0,26987,1.0
12071,2015,28211,170406.2973308284,118304.0,0.9998824635585984,1.0,28211,1.0
12071,2014,24684,161570.20385674931,106999.0,0.9995048639629345,1.0,24684,1.0
12071,2013,24036,141821.56078382427,93704.5,0.9997643160914621,1.0,24036,1.0
12069,2023,7619,237238.31421446384,200510.0,0.8130733277530674,0.9575967084374472,7619,1.0
12069,2022,12251,192663.0007346339,143774.0,0.8749441934233315,1.0,12251,1.0
12069,2021,13600,173957.03955882354,139688.0,276.85912202034643,1.0,13600,1.0
12069,2020,11422,163767.72386622307,127018.5,331.97738497595077,1.0,11422,1.0
12069,2019,11462,154341.62179375326,126557.0,82.85842757411477,1.0,11462,1.0
12069,2018,11450,150039.8927510917,115718.5,0.9396037920446418,1.0,11450,1.0
12069,2017,13650,135149.21362637362,103927.0,0.9557909601617646,1.0,13650,1.0
12069,2016,13529,110093.7577795846,94000.0,0.9658221096359959,1.0,13529,1.0
12069,2015,9976,112937.58590617482,99355.0,0.9739019384311699,1.0,9976,1.0
12069,2014,9265,100917.24403669724,88514.0,0.9861941718150695,1.0,9265,1.0
12067,2022,65,91571.4923076923,78684.0,0.908025409665882,1.0,65,1.0
12067,2021,83,80332.6265060241,73407.0,0.9124109065567201,0.9594933883836412,83,1.0
12067,2020,82,74138.4512195122,51420.0,0.9709648585937765,1.0,82,1.0
12067,2019,57,114722.57894736843,88345.0,0.9700501980388814,1.0,57,1.0
12067,2018,63,62420.142857142855,49840.0,0.9766323657221785,1.0,63,1.0
12067,2017,94,60767.65957446808,47995.5,0.9451457819960319,1.0,94,1.0
12067,2016,97,60509.989690721646,50814.0,0.9780554040752271,1.0,97,1.0
12067,2015,56,66629.89285714286,44953.0,0.6275340599128651,0.7357223787049609,4,0.07142857142857142
12067,2014,57,61920.80701754386,47822.0,0.9507779067694236,1.0,57,1.0
12065,2022,194,124488.35567010309,94382.0,0.8903867650685859,1.0,194,1.0
12065,2021,272,107367.25,89513.0,0.8915071803879958,1.0,272,1.0
12065,2020,228,89976.57894736843,69941.0,0.896732157857984,1.0,228,1.0
12065,2019,191,87065.9895287958,75927.0,0.9049696921160594,1.0,191,1.0
12065,2018,214,82496.42990654205,62721.0,0.924138449735303,1.0,214,1.0
12065,2017,247,62366.8987854251,45053.0,0.9148700699493688,1.0,247,1.0
12065,2016,250,74656.208,53395.0,0.9178596566695941,1.0,250,1.0
12065,2015,138,75927.43478260869,64819.5,0.9239106273213803,1.0,138,1.0
12065,2014,147,84888.93197278911,62827.0,0.9505873525093904,1.0,147,1.0
12063,2023,409,112563.84107579463,90429.0,0.8696378196198756,1.0,409,1.0
12063,2022,549,98402.4262295082,81557.0,0.8908290103212306,1.0,549,1.0
12063,2021,621,89761.61352657004,68066.0,0.9326817356156741,1.0,621,1.0
12063,2020,464,77214.01077586207,62681.0,0.9757355058315144,1.0,464,1.0
12063,2019,462,71531.00216450216,57208.0,0.9864405464460215,1.0,462,1.0
12063,2018,408,74828.48529411765,58572.5,0.9794305641760549,1.0,408,1.0
12063,2017,574,71319.78222996516,56362.0,0.986031262797534,1.0,574,1.0
12063,2016,622,75501.60289389068,60321.0,0.9754407264742847,1.0,622,1.0
12063,2015,394,79547.86294416244,63085.5,0.9881889962449539,1.0,394,1.0
12063,2014,363,79902.74655647382,63985.0,0.9907029661125725,1.0,363,1.0
12061,2022,5770,246920.68665511266,162343.0,0.8584749196599166,1.0,5770,1.0
12061,2021,7249,258257.45716650572,151798.0,0.9031583175375144,1.0,7230,0.997378948820527
12061,2020,6131,239546.20583917794,141877.0,0.9091532643597982,1.0,6131,1.0
12061,2019,5856,213799.34579918033,125511.0,0.904466335156568,1.0,5856,1.0
12061,2018,5782,195469.55534417156,115117.0,0.9059439418361487,1.0,5782,1.0
12061,2017,5922,201406.87386018236,108140.0,0.9071864064923482,1.0,5922,1.0
12061,2016,5570,174164.59425493717,100965.0,0.9234642385914961,1.0,5570,1.0
12061,2015,5700,173045.27368421052,93930.0,0.9484471851250555,1.0,5700,1.0
12061,2014,4971,169960.26554013276,88230.0,0.9719618725777907,1.0,4971,1.0
12059,2022,200,72074.165,58638.0,0.9685381567531915,1.0,200,1.0
12059,2021,183,68434.3825136612,57955.0,0.9758722474062652,1.0,183,1.0
12059,2020,179,66352.07821229051,53521.0,0.9560021054945974,1.0,179,1.0
12059,2019,184,63505.25543478261,54897.5,0.9732268553903123,1.0,184,1.0
12059,2018,169,59393.36686390533,54471.0,,,,
12059,2017,332,58619.51807228916,49115.0,0.9465004946196081,1.0,332,1.0
12059,2016,238,48626.970588235294,43009.0,0.9418542754336451,1.0,238,1.0
12059,2015,139,54480.69784172662,45113.0,0.9709721594505346,1.0,139,1.0
12059,2014,112,62918.63392857143,53073.0,0.9759409975039063,1.0,112,1.0
12057,2023,22199,280590.6755259246,217266.0,0.8235236152726867,1.0,22199,1.0
12057,2022,32408,269073.1083374476,182528.5,0.8464481141925371,1.0,32408,1.0
12057,2021,38805,226473.18428037624,158064.0,0.8881963233943216,1.0,38805,1.0
12057,2020,34518,186638.8709658729,141699.0,0.9117646233977313,1.0,34518,1.0
12057,2019,34619,192106.22357664866,128571.0,0.9103305474926723,1.0,34619,1.0
12057,2018,34570,169254.9774949378,118428.0,0.906352317474682,1.0,34570,1.0
12057,2017,39302,182307.33611521043,123041.0,0.9989790575706686,1.0,39302,1.0
12057,2016,40871,149422.78243742508,98741.0,0.8896615682378669,0.9657068812246682,40871,1.0
12057,2015,29472,173968.38042888165,121108.0,0.9575390893319106,1.0,29472,1.0
12057,2014,25261,158600.19599382448,106986.0,0.9589802865686441,1.0,25261,1.0
12057,2013,25876,147517.69384758078,100324.5,0.9742525162230242,1.0,25876,1.0
12055,2022,2979,131886.35918093318,108691.0,0.8585206606139418,1.0,2979,1.0
12055,2021,3609,111672.54391798282,94775.0,0.9043055686323691,1.0,3609,1.0
12055,2020,3167,101826.4161667193,89075.0,0.9257705092565276,1.0,3167,1.0
12055,2019,2987,93537.76933377971,78659.0,0.9331142484251764,1.0,2987,1.0
12055,2018,3035,91273.9726523888,76381.0,0.9381629091037909,1.0,3035,1.0
12055,2017,2836,86581.75952045133,71125.0,0.9427796385798154,1.0,2836,1.0
12055,2016,2635,80809.42277039848,66364.0,0.9625165732125099,1.0,2635,1.0
